id,name,sex,background,type,place,putsch
amann,Max Amann,1,1,1,1,1
hbechstein,Helene Bechstein,2,2,1,2,2
ebechstein,Edwin Bechstein,1,2,1,2,2
below,Nicolaus von Below,1,3,1,3,2
blomberg,Werner von Blomberg,1,3,1,5,2
bormann,Martin Bormann,1,1,1,6,1
bouhler,Philipp Bouhler,1,1,1,1,2
bruckmann,Elsa Bruckmann,2,2,1,1,2
brueckner,Wilhelm Brueckner,1,1,1,1,1
chamberlain,Houston Stewart Chamberlain,1,2,1,4,2
dietrich,Otto Dietrich,1,1,1,3,2
dinter,Artur Dinter,1,2,1,6,2
dirksen,Viktoria von Dirksen,2,2,1,2,2
eckart,Dietrich Eckart,1,2,1,1,1
epp,Franz Ritter von Epp,1,1,1,1,2
esser,Hermann Esser,1,1,1,4,1
feder,Gottfried Feder,1,1,1,4,1
frank,Hans Frank,1,1,1,1,1
guenther,Hans F. K. Guenther,1,1,1,5,2
hoffmann,Hermine Hoffmann,2,2,1,1,2
kirdorf,Emil Kirdorf,1,2,1,3,2
lammers,Hans Heinrich Lammers,1,1,1,3,2
maurice,Emil Maurice,1,1,1,1,1
mayr,Karl Mayr,1,2,1,4,2
poehner,Ernst Poehner,1,3,1,1,1
reichenau,Walter von Reichenau,1,3,1,3,2
rosenberg,Alfred Rosenberg,1,1,1,4,1
schaub,Julius Schaub,1,1,1,1,1
schreck,Julius Schreck,1,2,1,1,2
speer,Albert Speer,1,1,1,2,2
wagner,Winifred Wagner,2,2,1,4,2
himmler,Heinrich Himmler,1,1,1,1,1
hess,Rudolf Hess,1,1,1,2,1
goebbels,Joseph Goebbels,1,1,1,2,2
heydrich,Reinhard Heydrich,1,3,1,7,2
goering,Hermann Goering,1,1,1,4,1
schirach,Baldur von Schirach,1,1,1,2,2
hitler,Adolf Hitler,1,1,1,1,1
bohlen,Gustav Krupp von Bohlen und Halbach,1,2,1,3,2
thyssen,Fritz Thyssen,1,2,1,3,2
frick ,Wilhelm Frick,1,1,1,4,1
fick,Roderich Fick,1,4,1,1,2
schwarz,Franz Xaver Schwarz,1,1,1,4,1
weber,Christian Weber,1,1,1,1,1
borsig,Ernst Borsig,1,2,1,2,2
papen,Franz von Papen,1,1,1,3,2
hugenberg,Alfred Hugenberg,1,1,1,3,2
keppler,Wilhelm Keppler,1,3,1,8,2
gansser,Emil Gansser,1,2,1,2,2
schacht,Hjalmar Schacht,1,1,1,1,2
hossbach,Friedrich Hossbach,1,3,1,5,2
scheubnerrichter,Max Erwin von Scheubner-Richter,1,4,1,1,1
ribbentrop,Joachim von Ribbentrop,1,1,1,2,2
luedecke,Kurt Luedecke,1,2,1,1,1
kerrl,Hans Kerrl,1,4,1,3,2
darre,Richard Walther Darre,1,3,1,1,2
leybold,Otto Leybold,1,4,1,1,1
hanfstaengl,Ernst Hanfstaengl,1,3,1,1,2
aust,Hermann Aust,1,2,1,1,2
sa,Sturmabteilung,3,3,2,9,2
ss,Schutzstaffel,3,3,2,9,2
strauss,Emil Georg von Strauss,1,2,1,2,2
hessen,Prinz Philipp von Hessen,1,1,1,10,2
hohenlohe,Stephanie zu Hohenlohe-Waldenburg-Schillingsfuerst,2,4,1,11,2
biskupski,Vasilij Biskupski,1,3,1,2,1
roder,Lorenz Roder,1,4,1,1,2
singer,Johann Singer,1,1,1,1,1
wiedemann,Fritz Wiedemann,1,3,1,1,2
stosstrupp,Stosstrupp Hitler,3,1,2,9,1
berchtold,Josef Berchtold,1,1,1,1,1
kempka,Erich Kempka,1,4,1,3,2
troost,Paul Ludwig Troost,1,4,1,1,2
neithardt,Georg Neithardt,1,4,1,3,2
feverlag,Franz-Eher-Verlag,3,4,2,1,2
riefenstahl,Leni Riefenstahl,2,4,1,2,2
graf,Urlich Graf,1,1,1,1,1
kursell,Otto von Kursell,1,4,1,2,1
lehmann,Julius Friedrich Lehmann,1,4,1,1,1
schickedanz,Arno Schickedanz,1,1,1,2,2
koerner,Oskar Koerner,1,2,1,1,1
boepple,Ernst Boepple,1,4,1,1,1
burhenne,Karl Burhenne,1,2,1,2,2
biv,Bayrischer Industriellen Verband,3,2,2,4,9
sesselmann,Marc Sesselmann,1,1,1,4,1
streicher,Julius Streicher,1,1,1,4,1
ludendorff,Erich Ludendorff,1,1,1,1,1
kriebel,Hermann Kriebel,1,3,1,1,1
pfordten,Theodor von der Pfordten,1,4,1,1,1
springorum,Fritz Springorum,1,2,1,3,2
roehm,Ernst Roehm,1,3,1,1,1
hierl,Konstantin Hierl,1,3,1,1,1
pietzsch,Albert Pietzsch,1,2,1,1,2
pleiger,Paul Pleiger,1,2,1,2,2
kehrl,Hans Kehrl,1,2,1,3,2
class,Heinrich Class,1,1,1,2,1
fiehler,Karl Fiehler,1,1,1,1,1
nsdap,NSDAP,3,1,2,9,9